airfoil_name,airfoil_file,reynolds_number,angle_of_attack,cl,cd,cm,cl_cd_ratio
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-3,[-0.04157751],[0.0196049],[-0.07392952],[-2.12077205]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-2,[0.09259554],[0.01676286],[-0.07437826],[5.52385125]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,-1,[0.27712303],[0.01665175],[-0.08695281],[16.64228019]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,0,[0.39375139],[0.01629121],[-0.0874097],[24.16955686]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,1,[0.49689014],[0.01647555],[-0.0852461],[30.15925116]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,2,[0.60616563],[0.017092],[-0.08395325],[35.46488352]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,3,[0.71556346],[0.01794312],[-0.08260919],[39.87955403]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,4,[0.82136564],[0.01880246],[-0.08070824],[43.68394598]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,5,[0.92183553],[0.01957065],[-0.07783285],[47.10295517]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,6,[1.01899183],[0.02030297],[-0.07430123],[50.18929034]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,7,[1.11331175],[0.02095357],[-0.07018367],[53.13232743]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,8,[1.18901745],[0.02168003],[-0.06320884],[54.84390155]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,9,[1.21089097],[0.02502757],[-0.05070911],[48.38229096]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,10,[1.2111219],[0.03284901],[-0.03829297],[36.8693542]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,11,[1.26167451],[0.0402055],[-0.03222829],[31.38064155]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,12,[1.34035078],[0.04774033],[-0.02911814],[28.07586174]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,13,[1.38857617],[0.05792639],[-0.02427566],[23.97139143]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,14,[1.35317669],[0.07260299],[-0.01600448],[18.63803018]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,15,[1.24963595],[0.09615071],[-0.01820173],[12.9966381]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,16,[0.91712995],[0.18052732],[-0.06348086],[5.08028338]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,17,[0.91955281],[0.2064616],[-0.08762437],[4.45386842]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,18,[0.95274498],[0.21767812],[-0.09569499],[4.37685221]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,19,[0.98429147],[0.22843666],[-0.1049005],[4.30881567]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,20,[1.01531868],[0.23939481],[-0.11463301],[4.24118912]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,21,[1.04719758],[0.25013083],[-0.12455609],[4.18659933]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,22,[1.08000601],[0.26042722],[-0.13451194],[4.14705494]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,23,[1.1132176],[0.27024673],[-0.14439038],[4.11926388]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,24,[1.14623173],[0.27962905],[-0.15410204],[4.09911533]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,25,[1.17854869],[0.28862798],[-0.16357169],[4.0832794]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,26,[1.20979588],[0.29728674],[-0.1727381],[4.0694579]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,27,[1.23971162],[0.30563113],[-0.1815548],[4.05623474]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,28,[1.26812131],[0.31366897],[-0.1899893],[4.04286502]
vae_airfoil_1,vae_airfoil_1.dat,100000.0,29,[1.29491486],[0.32139171],[-0.19802053],[4.02908602]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-30,[-0.96997416],[0.31790691],[0.12308172],[-3.05112641]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-29,[-0.94248023],[0.31013002],[0.11493388],[-3.03898421]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-28,[-0.91358791],[0.30207901],[0.10648403],[-3.02433433]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-27,[-0.88341785],[0.29379222],[0.09778178],[-3.00694767]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-26,[-0.85211682],[0.28529544],[0.08888787],[-2.98678738]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-25,[-0.81985412],[0.27659797],[0.07987358],[-2.96406414]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-24,[-0.78681182],[0.26768993],[0.07081758],[-2.93926562]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-23,[-0.75316887],[0.25854229],[0.06179903],[-2.913136]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-22,[-0.71908261],[0.24911077],[0.05288672],[-2.88659779]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-21,[-0.68467704],[0.23934233],[0.04412635],[-2.86066001]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-20,[-0.65005176],[0.2291793],[0.03553106],[-2.83643314]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-19,[-0.61532577],[0.21855541],[0.02708248],[-2.81542222]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-18,[-0.58071793],[0.20738224],[0.01874746],[-2.80022976]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-17,[-0.54663354],[0.19553454],[0.01050846],[-2.7955856]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-16,[-0.51368297],[0.1828657],[0.00239492],[-2.80907234]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-15,[-0.48259368],[0.16932181],[-0.00549531],[-2.85015658]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-14,[-0.45424225],[0.15520281],[-0.01294978],[-2.9267657]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-13,[-0.43024999],[0.14138768],[-0.0194771],[-3.04305151]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-12,[-0.41313255],[0.12898099],[-0.0243023],[-3.20304986]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-11,[-0.40834061],[0.11537627],[-0.0294515],[-3.53920801]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-10,[-0.55748724],[0.06803437],[-0.04964182],[-8.19419943]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-9,[-0.66870243],[0.03239485],[-0.0579952],[-20.64224319]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-8,[-0.59046811],[0.02525283],[-0.05765911],[-23.38225819]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-7,[-0.45964217],[0.02050698],[-0.06460935],[-22.41393919]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-6,[-0.30975247],[0.01705938],[-0.07458827],[-18.1573105]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-5,[-0.16927784],[0.01450472],[-0.08216021],[-11.67053832]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-4,[-0.04832805],[0.01258868],[-0.08464057],[-3.83901012]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-3,[0.06073256],[0.01113954],[-0.08380849],[5.45198124]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-2,[0.16086142],[0.00933281],[-0.07916416],[17.23612219]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,-1,[0.2517094],[0.00892008],[-0.0723564],[28.21829132]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,0,[0.37436268],[0.00907799],[-0.07420831],[41.23848043]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,1,[0.50455266],[0.00942658],[-0.07883231],[53.52445909]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,2,[0.61602945],[0.00981685],[-0.07958508],[62.75222919]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,3,[0.71780061],[0.01032578],[-0.07815188],[69.51538558]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,4,[0.82027082],[0.01098956],[-0.07655547],[74.64090682]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,5,[0.92408777],[0.01174277],[-0.07497798],[78.69417308]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,6,[1.02598607],[0.01251613],[-0.073084],[81.97312694]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,7,[1.12136029],[0.01360401],[-0.07034037],[82.42865418]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,8,[1.19391826],[0.01583751],[-0.06415374],[75.38548679]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,9,[1.22323433],[0.02102271],[-0.05357515],[58.18633902]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,10,[1.24767127],[0.02692788],[-0.04423216],[46.33380879]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,11,[1.27453769],[0.03317192],[-0.03723252],[38.42218126]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,12,[1.30578492],[0.04003376],[-0.03199316],[32.61709815]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,13,[1.34220208],[0.04718597],[-0.02766727],[28.44493775]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,14,[1.37797309],[0.0547874],[-0.02400817],[25.15127747]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,15,[1.39982743],[0.06414843],[-0.02144821],[21.82169541]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,16,[1.38641873],[0.07805749],[-0.02116153],[17.76150824]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,17,[1.3255443],[0.09917676],[-0.02792311],[13.36547236]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,18,[1.18139912],[0.1427582],[-0.05114912],[8.27552518]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,19,[1.02122464],[0.20885472],[-0.09105994],[4.88964121]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,20,[1.01173604],[0.24017449],[-0.11360285],[4.21250419]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,21,[1.04859733],[0.24954312],[-0.12355396],[4.2020686]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,22,[1.08612271],[0.2577345],[-0.13363362],[4.21411461]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,23,[1.11924056],[0.26721968],[-0.144065],[4.18846614]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,24,[1.15080589],[0.27674806],[-0.15442927],[4.15831609]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,25,[1.18170577],[0.28588882],[-0.1645272],[4.13344516]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,26,[1.21185609],[0.29460693],[-0.1742555],[4.11346763]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,27,[1.24096912],[0.30295578],[-0.1835575],[4.09620547]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,28,[1.26879322],[0.31098168],[-0.19240379],[4.07996124]
vae_airfoil_1,vae_airfoil_1.dat,250000.0,29,[1.29515766],[0.31870396],[-0.20078182],[4.06382675]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-30,[-0.96821189],[0.32010852],[0.12246596],[-3.02463645]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-29,[-0.940274],[0.3119936],[0.11421368],[-3.01376053]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-28,[-0.91109605],[0.30359143],[0.10570305],[-3.00105981]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-27,[-0.88083143],[0.2949316],[0.09699201],[-2.98656173]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-26,[-0.84965035],[0.28602787],[0.08814649],[-2.97051591]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-25,[-0.81772661],[0.27687606],[0.07923733],[-2.95340309]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-24,[-0.78521662],[0.26745525],[0.07033462],[-2.93588037]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-23,[-0.75223342],[0.25773489],[0.06149932],[-2.91863246]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-22,[-0.71882428],[0.24768793],[0.0527734],[-2.90213689]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-21,[-0.68496733],[0.23730437],[0.04417216],[-2.88645052]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-20,[-0.65060515],[0.22659144],[0.03568417],[-2.87126973]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-19,[-0.61572954],[0.21554297],[0.02728365],[-2.85664412]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-18,[-0.58051169],[0.204065],[0.01895335],[-2.84473918]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-17,[-0.54542718],[0.19188012],[0.01070261],[-2.84254131]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-16,[-0.51160956],[0.17854709],[0.00256691],[-2.86540414]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-15,[-0.4842619],[0.16357658],[-0.00486588],[-2.96045991]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-14,[-0.47687311],[0.14513437],[-0.01742037],[-3.28573519]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-13,[-0.77454599],[0.06012434],[-0.05750021],[-12.88240425]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-12,[-0.84289829],[0.03400434],[-0.07076496],[-24.78795985]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-11,[-0.82427668],[0.02642667],[-0.06835405],[-31.19108763]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-10,[-0.74827515],[0.02183578],[-0.06613451],[-34.26829795]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-9,[-0.639736],[0.01812222],[-0.06868714],[-35.30119472]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-8,[-0.51579221],[0.01521914],[-0.07395147],[-33.89102307]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-7,[-0.3881611],[0.01303329],[-0.07929359],[-29.78226954]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-6,[-0.26572919],[0.01145307],[-0.0825868],[-23.20155989]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-5,[-0.15527504],[0.01039775],[-0.08231572],[-14.93352086]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-4,[-0.05145341],[0.0096088],[-0.08010521],[-5.35482228]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-3,[0.05444388],[0.00881482],[-0.07879608],[6.17640503]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-2,[0.16395383],[0.00762084],[-0.07817941],[21.51388777]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,-1,[0.26817238],[0.00692701],[-0.07635334],[38.71400255]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,0,[0.36945825],[0.00691367],[-0.07313444],[53.43880062]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,1,[0.48187363],[0.00717522],[-0.07309863],[67.15805294]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,2,[0.60574026],[0.00757492],[-0.07620555],[79.96654637]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,3,[0.72057761],[0.00798072],[-0.07740882],[90.28978186]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,4,[0.82494002],[0.00842773],[-0.07641347],[97.88402521]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,5,[0.92641395],[0.00898505],[-0.07503717],[103.1061236]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,6,[1.02804176],[0.00988727],[-0.07403395],[103.97632372]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,7,[1.12530928],[0.01154473],[-0.07184675],[97.47381803]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,8,[1.19876218],[0.01473016],[-0.06666854],[81.38147074]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,9,[1.25966357],[0.01843392],[-0.06027873],[68.33400805]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,10,[1.31177294],[0.02200247],[-0.05286077],[59.61934238]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,11,[1.34923644],[0.02639586],[-0.04508988],[51.11545773]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,12,[1.3761671],[0.03214681],[-0.0388929],[42.80882263]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,13,[1.39670285],[0.039732],[-0.03520354],[35.15309758]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,14,[1.41178537],[0.04937567],[-0.03364027],[28.59273158]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,15,[1.42036128],[0.06066267],[-0.03329321],[23.41408951]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,16,[1.42189225],[0.07335547],[-0.0341759],[19.38358976]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,17,[1.41571699],[0.0875326],[-0.03684043],[16.17359656]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,18,[1.40306168],[0.1015466],[-0.04127601],[13.8169248]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,19,[1.38756305],[0.11439191],[-0.04764788],[12.12990532]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,20,[1.367693],[0.13166931],[-0.0572435],[10.38733306]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,21,[1.33175785],[0.15766786],[-0.07227766],[8.44660341]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,22,[1.25364789],[0.19921477],[-0.09875539],[6.29294662]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,23,[1.1579062],[0.25240267],[-0.13761972],[4.58753551]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,24,[1.14639528],[0.28054265],[-0.15422078],[4.08634929]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,25,[1.18275718],[0.28955585],[-0.16528336],[4.08472907]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,26,[1.21808449],[0.29731602],[-0.17537355],[4.09693533]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,27,[1.24825598],[0.30602732],[-0.18500838],[4.07890378]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,28,[1.27596984],[0.31482786],[-0.19419907],[4.05291269]
vae_airfoil_1,vae_airfoil_1.dat,500000.0,29,[1.30214122],[0.32334028],[-0.20289744],[4.02715431]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-30,[-0.97207534],[0.32116389],[0.12134789],[-3.02672673]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-29,[-0.94425405],[0.31277813],[0.11314785],[-3.01892606]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-28,[-0.91528275],[0.30405973],[0.10471298],[-3.0102071]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-27,[-0.88529985],[0.29503879],[0.09610064],[-3.00062184]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-26,[-0.85443768],[0.28573592],[0.08737395],[-2.9903054]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-25,[-0.82280375],[0.27616577],[0.07859885],[-2.97938354]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-24,[-0.79045698],[0.26634441],[0.06983883],[-2.96780015]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-23,[-0.75738257],[0.2562986],[0.06114695],[-2.95507883]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-22,[-0.7234745],[0.24607193],[0.05255642],[-2.94009356]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-21,[-0.68854706],[0.23571612],[0.04407333],[-2.921086]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-20,[-0.65242478],[0.22524071],[0.03567672],[-2.89656686]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-19,[-0.61517662],[0.21448265],[0.02732609],[-2.86818824]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-18,[-0.57776463],[0.20282725],[0.01891461],[-2.84855534]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-17,[-0.54714735],[0.18785539],[0.00966663],[-2.91259859]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-16,[-0.55688278],[0.16145169],[-0.00251957],[-3.44922245]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-15,[-0.64092476],[0.1207943],[-0.02604738],[-5.30591905]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-14,[-0.92021636],[0.04688377],[-0.06592262],[-19.62760871]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-13,[-0.95643991],[0.03099757],[-0.07408359],[-30.85532263]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-12,[-0.91965775],[0.0246982],[-0.0710705],[-37.23582666]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-11,[-0.84041655],[0.02060458],[-0.06923713],[-40.7878597]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-10,[-0.73567405],[0.01727414],[-0.07092146],[-42.58818096]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-9,[-0.61919815],[0.01453605],[-0.07452136],[-42.59741217]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-8,[-0.49988457],[0.01241315],[-0.07825877],[-40.27058005]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-7,[-0.38245177],[0.0108851],[-0.08063592],[-35.13536241]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-6,[-0.2715821],[0.00985036],[-0.08047228],[-27.5707792]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-5,[-0.16462594],[0.00913047],[-0.07885021],[-18.03040022]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-4,[-0.05678328],[0.00855335],[-0.07769257],[-6.63871768]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-3,[0.0522309],[0.00797315],[-0.07747755],[6.55085129]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-2,[0.16425586],[0.00725378],[-0.07807479],[22.64418465]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,-1,[0.27275338],[0.0063283],[-0.07769405],[43.10055386]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,0,[0.38097706],[0.00619414],[-0.07648921],[61.50605378]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,1,[0.48633261],[0.00632402],[-0.07425335],[76.90249777]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,2,[0.60212441],[0.00665561],[-0.07506872],[90.46868183]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,3,[0.72080693],[0.00706564],[-0.07706084],[102.01580531]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,4,[0.83018158],[0.00747025],[-0.07727721],[111.13162816]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,5,[0.93258538],[0.00802104],[-0.07637755],[116.26738823]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,6,[1.03321518],[0.00908069],[-0.07512773],[113.78162502]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,7,[1.12824745],[0.01096239],[-0.07249573],[102.91987007]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,8,[1.20689724],[0.01405881],[-0.06868464],[85.84630343]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,9,[1.28337548],[0.01673776],[-0.06436865],[76.67545361]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,10,[1.34933709],[0.01948006],[-0.05853135],[69.26760176]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,11,[1.40088436],[0.02276585],[-0.05129922],[61.53446271]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,12,[1.44000837],[0.02704694],[-0.04438082],[53.24108335]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,13,[1.46932276],[0.03293417],[-0.03938648],[44.61392381]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,14,[1.48968516],[0.04106615],[-0.0368247],[36.27525698]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,15,[1.49934911],[0.05172049],[-0.03623848],[28.98946311]
vae_airfoil_1,vae_airfoil_1.dat,750000.0,16,[1.49528591],[0.06471961],[-0.03704253],[23.10406339]
